dr_no,date_occ,neighborhood,new_category,crime_type_id,neighborhood_id
180317301,2018-07-22,jefferson-park,theft,0,96
181713735,2018-07-22,northridge,theft,0,11
180511722,2018-06-03,san-pedro,theft,0,23
182114169,2018-07-22,woodland-hills,theft,0,43
182111430,2018-06-01,canoga-park,theft,0,58
180513530,2018-07-22,wilmington,theft,0,65
182113817,2018-07-22,woodland-hills,theft,0,43
181512765,2018-06-12,studio-city,theft,0,36
181514618,2018-06-14,valley-glen,theft,0,75
180317407,2018-07-22,leimert-park,theft,0,102
180119403,2018-07-22,downtown,theft,0,3
181113829,2018-07-22,atwater-village,theft,0,100
181815758,2018-07-22,watts,theft,0,71
181417546,2018-07-31,westchester,theft,0,8
180116358,2018-06-15,downtown,theft,0,3
181218943,2018-07-22,vermont-slauson,theft,0,55
181514943,2018-07-22,studio-city,theft,0,36
181416870,2018-07-22,westchester,theft,0,8
180512029,2018-06-15,harbor-city,theft,0,86
181113812,2018-07-22,east-hollywood,theft,0,50
180317322,2018-07-22,west-adams,theft,0,66
182014523,2018-07-22,arlington-heights,theft,0,95
181215201,2018-06-03,vermont-slauson,theft,0,55
181113862,2018-07-22,griffith-park,theft,0,94
180616723,2018-07-22,hollywood-hills,theft,0,12
181013807,2018-07-31,encino,theft,0,1
181612057,2018-07-22,sunland,theft,0,104
182010596,2018-05-02,koreatown,theft,0,26
181514987,2018-07-22,hollywood-hills,theft,0,12
180813791,2018-07-22,pico-robertson,theft,0,45
180610692,2018-04-21,hollywood,theft,0,15
181219064,2018-07-22,florence,theft,0,49
180217172,2018-08-03,westlake,theft,0,10
181013885,2018-08-03,reseda,theft,0,37
180120443,2018-08-04,downtown,theft,0,3
180317343,2018-07-22,baldwin-hillscrenshaw,theft,0,56
181515921,2018-08-04,north-hollywood,theft,0,25
181316070,2018-07-22,florence,theft,0,49
181417676,2018-08-05,venice,theft,0,20
180618439,2018-08-07,hollywood,theft,0,15
181914672,2018-07-22,mission-hills,theft,0,70
180119277,2018-07-22,downtown,theft,0,3
181220312,2018-08-08,vermont-slauson,theft,0,55
180215630,2018-07-22,echo-park,theft,0,31
180914782,2018-07-22,van-nuys,theft,0,0
180317409,2018-07-22,university-park,theft,0,40
180317357,2018-07-22,baldwin-hillscrenshaw,theft,0,56
181416732,2018-07-22,westchester,theft,0,8
180317406,2018-07-22,baldwin-hillscrenshaw,theft,0,56
181515360,2018-07-23,valley-glen,theft,0,75
180119525,2018-07-23,downtown,theft,0,3
181612094,2018-07-23,pacoima,theft,0,2
180119384,2018-07-23,downtown,theft,0,3
181013434,2018-07-23,reseda,theft,0,37
181219635,2018-07-23,vermont-knolls,theft,0,93
181219087,2018-07-23,harvard-park,theft,0,73
180915471,2018-07-23,sherman-oaks,theft,0,33
181013406,2018-07-23,lake-balboa,theft,0,59
182014630,2018-07-23,koreatown,theft,0,26
182114296,2018-07-23,woodland-hills,theft,0,43
181113870,2018-07-23,los-feliz,theft,0,28
180413009,2018-07-23,el-sereno,theft,0,85
180317835,2018-07-23,hyde-park,theft,0,9
180914856,2018-07-23,van-nuys,theft,0,0
181514984,2018-07-23,north-hollywood,theft,0,25
181218981,2018-07-23,vermont-knolls,theft,0,93
180713907,2018-07-23,beverly-grove,theft,0,29
181416995,2018-07-23,venice,theft,0,20
181815920,2018-07-23,vermont-vista,theft,0,81
182113838,2018-07-23,woodland-hills,theft,0,43
182113818,2018-07-23,woodland-hills,theft,0,43
181914881,2018-07-23,panorama-city,theft,0,30
181113854,2018-07-23,los-feliz,theft,0,28
180914941,2018-07-23,van-nuys,theft,0,0
181013407,2018-07-23,reseda,theft,0,37
181515030,2018-07-23,valley-village,theft,0,5
180915206,2018-07-23,van-nuys,theft,0,0
180817070,2018-07-23,brentwood,theft,0,69
181219299,2018-07-23,hyde-park,theft,0,9
180619980,2018-07-23,east-hollywood,theft,0,50
181515568,2018-07-23,valley-village,theft,0,5
180915386,2018-07-23,sherman-oaks,theft,0,33
182114504,2018-07-23,canoga-park,theft,0,58
180122477,2018-07-23,downtown,theft,0,3
181114196,2018-07-23,glassell-park,theft,0,67
180122618,2018-08-24,chinatown,theft,0,82
181422108,2018-10-12,mar-vista,theft,0,44
181323463,2018-11-26,downtown,theft,0,3
180515186,2018-08-29,san-pedro,theft,0,23
180218137,2018-08-29,westlake,theft,0,10
182019206,2018-10-20,westlake,theft,0,10
181221753,2018-08-29,vermont-slauson,theft,0,55
180715880,2018-08-29,mid-city,theft,0,52
180716580,2018-08-29,fairfax,theft,0,38
180815622,2018-09-01,sawtelle,theft,0,22
180716071,2018-09-02,arlington-heights,theft,0,95
182017117,2018-09-07,koreatown,theft,0,26
180127733,2018-09-07,downtown,theft,0,3
180716259,2018-09-07,mid-wilshire,theft,0,18
